T,R,Ch2so4,a-pinene,3-carene,b-pinene,time,limonene,alpha-terpinene,gamma-terpinene,terpinolene,p-cymene,alpha-terpinene-output,gamma-terpinene-output,terpinolene-output,p-cymene-output
94.89070076,0.251348257,4.754266104,0.454642816,0.318157184,0.15,264,0.0576,2.1504,0.8736,1.4336,0.2416,2.067875235,0.840074314,1.37858349,0.232328244
96.948295,0.264465422,6.587162583,0.494827623,0.355132637,0.088559788,39,0.224,2.0768,0.9536,1.6832,0.0896,1.997099743,0.917004197,1.618604723,0.086161468
96.948295,0.264465422,6.587162583,0.494827623,0.355132637,0.088559788,77,0.0544,2.4192,0.9568,1.7024,0.1408,2.32635964,0.920081392,1.637067894,0.135396593
96.948295,0.264465422,6.587162583,0.494827623,0.355132637,0.088559788,123,0.0384,2.3552,0.8896,1.664,0.1968,2.264815734,0.855460291,1.600141551,0.18924751
96.948295,0.264465422,6.587162583,0.494827623,0.355132637,0.088559788,168,0.032,2.1664,0.7936,1.504,0.2592,2.083261212,0.763144432,1.446281786,0.249252819
96.948295,0.264465422,6.587162583,0.494827623,0.355132637,0.088559788,205,0.0224,1.9072,0.7008,1.3248,0.32,1.834008393,0.673905769,1.27395885,0.307719529
96.948295,0.264465422,6.587162583,0.494827623,0.355132637,0.088559788,266,0.0064,1.2448,0.4864,0.9536,0.4512,1.197028968,0.467733684,0.917004197,0.433884536
87.28917811,0.29425683,4.846534098,0.425066165,0.274031774,0.244585607,32,0.4352,0.4768,0.272,0.5984,0.0544,0.458502098,0.2615616,0.575435519,0.05231232
87.28917811,0.29425683,4.846534098,0.425066165,0.274031774,0.244585607,62,0.4608,0.9504,0.544,1.0304,0.0832,0.913927001,0.523123199,0.990856883,0.080007078
87.28917811,0.29425683,4.846534098,0.425066165,0.274031774,0.244585607,115,0.4256,1.4784,0.848,1.4016,0.136,1.421664224,0.815456752,1.347811537,0.1307808
87.28917811,0.29425683,4.846534098,0.425066165,0.274031774,0.244585607,200,0.24,2.1024,1.0944,1.5872,0.2016,2.021717306,1.052400789,1.526288864,0.193863303
87.28917811,0.29425683,4.846534098,0.425066165,0.274031774,0.244585607,235,0.1664,2.2752,1.1136,1.6128,0.216,2.187885851,1.070863961,1.550906426,0.207710682
92.12612718,0.17326151,5.065759563,0.6,0.14697321,0.181043066,0,0.2656,0,0,0,0.0192,0,0,0,0.018463172
92.12612718,0.17326151,5.065759563,0.6,0.14697321,0.181043066,15,0.3168,0.2528,0.1504,0.3552,0.0384,0.243098428,0.144628179,0.341568677,0.036926343
92.12612718,0.17326151,5.065759563,0.6,0.14697321,0.181043066,71,0.352,1.4272,0.8288,1.2896,0.0864,1.372429099,0.79699358,1.240109702,0.083084273
92.12612718,0.17326151,5.065759563,0.6,0.14697321,0.181043066,131,0.1984,1.9744,1.04,1.4048,0.1408,1.898629494,1.000088469,1.350888732,0.135396593
92.12612718,0.17326151,5.065759563,0.6,0.14697321,0.181043066,171,0.1024,2.1376,1.0112,1.3824,0.1792,2.055566454,0.972393712,1.329348365,0.172322936
92.12612718,0.17326151,5.065759563,0.6,0.14697321,0.181043066,218,0.0384,2.1376,0.8864,1.3504,0.2128,2.055566454,0.852383095,1.298576413,0.204633487
92.12612718,0.17326151,5.065759563,0.6,0.14697321,0.181043066,254,0.0256,2.0608,0.8032,1.3216,0.2416,1.981713767,0.772376018,1.270881655,0.232328244
72.25709233,0.22972619,4.456957497,0.744842843,0.03334273,0.152028582,0,0.2624,0,0,0,0.0048,0,0,0,0.004615793
72.25709233,0.22972619,4.456957497,0.744842843,0.03334273,0.152028582,10,0.272,0,0,0,0.008,0,0,0,0.007692988
72.25709233,0.22972619,4.456957497,0.744842843,0.03334273,0.152028582,66,0.3104,0.1184,0.096,0.2496,0.0304,0.113856226,0.092315859,0.240021233,0.029233355
72.25709233,0.22972619,4.456957497,0.744842843,0.03334273,0.152028582,98,0.3328,0.2144,0.1824,0.4192,0.0496,0.206172084,0.175400132,0.403112583,0.047696527
72.25709233,0.22972619,4.456957497,0.744842843,0.03334273,0.152028582,141,0.368,0.3584,0.3264,0.608,0.0816,0.344645873,0.31387392,0.584667105,0.07846848
72.25709233,0.22972619,4.456957497,0.744842843,0.03334273,0.152028582,204,0.3936,0.5792,0.5472,0.8672,0.1392,0.556972348,0.526200395,0.833919924,0.133857995
72.25709233,0.22972619,4.456957497,0.744842843,0.03334273,0.152028582,255,0.4,0.7936,0.7328,1.0496,0.1856,0.763144432,0.704677721,1.009320055,0.178477327
104.7907811,0.337684325,5.271587834,0.657198036,0.135873382,0.139084367,0,0.2752,0.0256,0.016,0.0256,0.0208,0.024617562,0.015385976,0.024617562,0.020001769
104.7907811,0.337684325,5.271587834,0.657198036,0.135873382,0.139084367,5,0.3072,0.1664,0.0864,0.2336,0.0272,0.160014155,0.083084273,0.224635256,0.02615616
104.7907811,0.337684325,5.271587834,0.657198036,0.135873382,0.139084367,84,0.2592,1.8944,0.9472,1.4784,0.1024,1.821699612,0.910849806,1.421664224,0.098470249
104.7907811,0.337684325,5.271587834,0.657198036,0.135873382,0.139084367,114,0.1408,2.0576,0.9344,1.44,0.1536,1.978636572,0.898541025,1.384737881,0.147705374
104.7907811,0.337684325,5.271587834,0.657198036,0.135873382,0.139084367,155,0.0576,2.0192,0.8224,1.3472,0.2336,1.941710228,0.79083919,1.295499217,0.224635256
